UserId,ItemId
10,1386 1575 1185 2022 1200 1348 2885 2940 2537 457 702 275 1956 1681 1197 719 1465 1868 3178 505 706 231 2320 2855 1455 2726 2179 2455 333 2514 1770 2339 471 1195 2541 2470 517 2351 3142 1474 2652 496 2299 770 2108 1693 277 417 3229 663
11,115 517 1239 2649 1402 1290 232 1737 1443 2541 1973 1956 2035 2398 1197 868 2616 1195 2464 454 644 521 2428 2964 186 702 3209 2696 1060 272 2551 1348 706 2384 1474 3049 2080 255 1575 1268 770 3229 2182 1920 296 1990 380 1185 957 1106
12,938 2431 954 2392 1224 856 358 987 1325 1861 2885 2115 458 2959 3241 1386 2193 1200 1197 2312 3210 2464 1185 865 2977 2022 2631 3150 2841 1405 876 2537 319 714 2652 2855 243 676 2196 2351 465 1470 91 1868 702 829 1154 2866 825 2129
13,1154 1002 751 2811 2164 319 1054 2431 3210 825 1975 2631 856 2196 2113 1299 2957 1224 2930 613 2129 1596 676 1006 25 692 2889 1895 1861 1317 1415 1964 938 1117 2866 2546 2648 335 1129 119 3194 2316 1432 239 629 1474 2089 2970 505 1240
14,2470 2350 2885 2652 1386 2022 100 865 465 1195 1197 719 275 1474 2182 2464 2537 1722 2855 517 2937 803 1567 2541 1868 1681 1239 1956 231 1106 2351 987 490 505 702 3241 294 471 2299 2111 706 2312 2688 454 637 1348 1737 868 1455 3142
15,2262 2652 1020 1339 91 954 3241 3142 2726 1452 856 2182 468 2350 1386 987 845 512 2431 2811 2351 2546 122 2320 1474 2022 192 2470 2217 1533 938 1006 2163 1129 1797 1991 100 2225 1194 905 170 1197 2937 1268 1602 2115 1956 1195 1575 2921
16,1195 2885 706 2022 2464 231 2455 2351 1812 1307 1474 486 3142 2652 2470 2312 1871 1185 2977 644 2661 1614 457 384 2006 2726 294 1325 3241 2750 2902 2320 277 1365 847 3220 3186 2521 2115 454 1268 1443 2795 842 783 3040 517 2173 2971 1407
17,3241 2320 100 987 2875 1106 91 2649 2351 1474 1117 1722 517 1575 1737 2541 2957 1956 1195 1371 501 2855 231 865 2413 702 521 706 1784 1797 405 1498 2616 241 2714 1348 2474 1991 2057 2537 1071 505 945 719 272 856 2825 964 2464 2799
18,697 465 2039 2022 2885 3032 2514 1193 2299 2403 1465 2312 1197 3078 2537 2108 2024 2855 968 1348 1923 117 2031 275 1200 750 505 767 2339 865 1307 1868 1586 1956 770 3229 1835 706 329 663 898 2831 84 938 1681 1034 517 719 3142 2470
19,2537 2940 2464 1200 719 2455 1197 333 1455 2299 706 1195 1949 3142 1770 384 3078 3178 294 2031 2470 2845 938 1307 702 2117 2320 1348 1193 3032 2024 117 1673 3031 1812 490 2536 2547 1034 167 2651 2339 2841 1784 2652 783 2527 1336 2007 698
20,491 255 1357 1737 1200 2888 814 2035 2463 2171 1423 2855 280 767 1498 1133 2398 2652 1348 1197 865 2932 2351 48 2384 2551 115 2650 1239 945 2937 1185 2312 1465 2299 1065 1023 1371 2537 2126 2179 3247 2696 1121 275 1811 1268 3181 3233 719
21,637 3031 2392 384 505 2117 2312 2845 2455 2193 2464 1648 3040 2380 1325 3176 2463 1770 358 2024 2474 698 2805 2007 294 2940 3220 465 783 1195 981 496 2124 1386 1684 2885 92 1268 2525 3142 2339 676 1197 1167 333 1722 1949 2651 706 2299
22,277 1923 3037 2222 1034 176 2066 296 1673 1290 1835 1307 2899 46 3159 3109 2100 117 2483 361 3041 2757 217 1573 331 1424 110 1857 1343 2979 821 1341 1456 706 1156 745 749 340 2664 703 2997 15 1184 1300 162 1405 494 1364 505 1734
23,294 2805 2537 505 1268 1195 1868 2380 231 719 1770 2885 2193 2845 2182 1213 2527 490 2312 465 471 1861 1048 2940 981 384 2464 2810 3189 2855 637 2299 2022 1386 1455 3040 1715 2455 1755 1197 2351 333 1152 3142 1325 358 2350 2652 2661 1804
24,471 1324 1857 361 3142 486 593 277 3186 3068 1673 2977 2521 465 1305 2885 1200 334 1031 2350 1853 170 231 589 1474 856 2173 865 457 2807 1386 1812 1931 1603 1496 1770 1325 2537 719 2652 275 2115 46 296 741 3041 2127 3241 2470 2291
25,485 2783 2547 1949 2464 2030 2031 494 2312 2536 1657 2537 770 2814 417 3032 1352 2108 2149 2706 663 2024 1786 573 1456 167 2455 1185 299 2034 2351 1193 1348 2299 3026 1860 1793 259 1197 3078 865 3139 1673 3041 2180 412 18 1336 1386 2463
26,294 13 919 1001 1152 2661 593 1614 571 2173 307 1219 2527 545 3142 1656 706 2685 1575 845 334 971 525 1715 2350 2810 847 259 2651 1048 2627 1770 346 2977 2299 1260 2976 585 1200 1861 1213 1941 1020 938 465 1197 1268 2979 1594 751
27,571 847 919 1795 1219 471 3040 294 1321 443 2259 2627 397 2521 450 1556 741 1132 939 1802 2795 1575 3105 2845 1414 346 2976 2971 1868 1474 1988 865 2173 1871 1209 2832 1056 3142 3186 2821 1099 2537 228 1200 1765 3220 423 1856 1770 283
28,1154 2196 2811 1861 825 2129 1975 3210 1964 91 2887 1686 1054 876 2164 655 836 676 2413 3150 1240 751 829 2262 553 3142 1200 1088 2959 2182 394 692 2306 1299 2885 2866 2841 1117 2470 629 2652 2113 1770 155 865 1895 1383 2089 2316 2499
29,3090 803 521 1498 232 3233 2650 1386 1737 924 2470 3059 2652 2035 1643 100 2649 2111 2807 517 2541 2351 2616 74 868 2714 2320 1956 2937 1811 1060 1560 957 2064 959 2393 1770 770 1071 2976 255 991 2398 1357 2371 1348 1879 964 1579 2726
30,2977 938 2173 1195 1474 706 3142 2546 1575 1197 3241 2726 2470 2351 2350 505 1020 2855 856 845 471 1200 2320 331 954 655 465 2455 231 865 2087 2841 2878 2538 1857 454 362 1339 2163 2661 1602 358 1871 1001 905 1614 2115 1942 987 1012
31,954 1575 2977 1861 938 2115 2474 358 1896 1268 751 458 2431 3241 2811 1154 2546 335 1975 1002 1054 714 2217 655 676 905 2631 825 1200 1317 2887 2885 471 2392 2164 2297 2841 2193 865 3210 987 1797 490 91 1770 1197 2652 2113 2129 2470
32,1956 3209 1770 1195 1200 2173 3142 1020 2541 2299 1575 845 1443 2977 331 2111 1034 1784 702 490 470 1268 1567 2602 422 863 2757 214 1307 589 2940 1185 644 454 2035 266 1533 3078 307 1812 275 719 1737 1193 748 1241 2616 924 294 2810
33,3089 1733 3083 1999 1141 1718 809 566 1845 2878 2958 2794 2146 311 224 2467 2905 3051 1859 935 1153 1400 1572 392 1638 2830 1359 1453 786 1539 1554 966 2577 1064 2406 2838 1710 1758 3081 917 1867 2546 1305 2602 1299 880 2967 114 2550 266
34,2845 2940 719 1575 1200 505 496 2527 3040 637 3176 1185 1715 465 2031 384 1195 2661 471 1681 2117 783 697 2885 1949 2206 2645 1474 976 2351 2971 2547 2022 2463 1770 1812 2514 1386 1197 231 2299 294 490 2024 2855 1407 988 2030 167 333
35,1567 1770 1386 465 517 1239 2750 1956 2855 865 1474 783 2351 987 1575 2616 3209 1185 2472 719 2198 280 1197 497 2986 702 3059 2111 3241 275 2696 2841 2649 3237 1681 2933 1195 644 1060 1722 1714 521 1973 1254 2688 1868 3064 2217 91 609
36,1941 3189 1048 163 2810 1055 2385 590 98 1362 1852 2380 2805 1558 712 598 294 1861 1387 2217 2809 2417 1984 2734 2741 1475 1976 1507 307 1957 405 1137 64 1873 2072 545 2934 732 1529 126 755 2193 2869 734 759 444 981 3089 1531 958
37,2651 1268 98 2805 1048 2810 553 2217 1195 1213 1941 3189 655 2977 1861 545 1200 2385 231 2350 2470 856 734 1197 1474 1770 1034 405 2652 938 2885 1386 2726 443 2320 1613 2809 294 865 1152 954 598 2193 2855 465 2115 1873 3241 1475 905
38,2055 2932 2472 497 2976 454 2726 2986 3237 1254 783 1128 1268 2875 2338 1964 2325 803 1695 2488 1591 2585 2810 1651 2428 465 2308 292 2441 2885 2649 3218 2750 2182 1443 1386 2176 2111 2022 1446 2944 1941 1040 1939 2217 1195 186 517 2198 1292
39,2222 176 2536 1835 494 387 2100 1424 2622 3037 3071 117 2770 1364 3182 1197 2940 1230 1307 1829 1405 1677 88 2575 2928 46 167 3190 3207 968 2464 1619 2455 621 697 1949 1465 2299 333 706 363 3229 633 471 1456 2208 745 3178 2547 1756
40,1200 1575 275 2455 465 2971 1195 706 505 1185 2885 2464 1386 988 490 2351 2470 2117 2726 2312 2022 471 231 3031 2652 697 1197 783 2661 2855 2651 976 3040 2977 1020 845 294 3220 384 496 2845 1268 2173 1567 1812 2299 2350 1348 2463 454
41,1195 471 384 147 783 1325 3220 2845 2464 976 1755 2661 465 2474 2232 443 2885 3237 741 294 2320 2115 981 2312 1567 2392 2466 1196 358 2855 1268 2022 490 2470 1958 1386 2463 2193 2862 1125 1197 2283 1056 2940 655 454 1722 2006 2299 3124
42,98 2805 677 1804 1941 1362 553 1137 2380 1048 981 405 1152 2217 598 734 2385 1861 294 958 1531 949 3089 2299 1852 0 2320 475 2734 1377 1770 266 2350 776 1613 3150 1200 590 2225 712 876 231 655 2638 755 1873 3142 2565 36 1237
43,964 2976 115 1533 2470 910 13 471 454 2937 48 3186 100 1088 1770 1871 334 1784 1567 1474 443 2883 2472 2696 1001 571 1239 2726 1292 2521 1200 1720 842 170 1797 3142 2551 1602 1289 490 2320 919 186 3079 2173 2986 2455 593 1402 2080
44,553 1873 2499 598 163 1055 677 590 829 2385 1152 405 1804 1861 1137 2931 595 2809 582 1475 876 1613 1087 1029 1549 732 1912 964 98 3009 3134 1558 2565 444 1085 2128 1984 2869 1041 2651 2805 2852 1909 1362 2734 2111 1383 2413 815 36
45,3210 825 1002 2129 2887 319 676 629 1299 2392 2977 2262 2957 1432 2866 2930 2297 1861 1240 2889 2089 2305 751 2406 1895 710 987 119 1203 1117 876 1088 613 2217 1596 2959 155 1415 1006 405 1855 3194 1336 2362 1200 1383 2648 25 239 998
46,2470 2320 2726 2350 2652 100 964 1386 2022 1784 1567 2111 2163 1575 115 1195 2810 2855 1239 865 454 2217 517 2937 803 346 490 1197 2551 1443 2351 3209 938 3241 3142 2147 1185 719 91 706 2464 2958 987 2976 2883 505 2977 2875 2055 2541
47,1770 2885 2652 2320 1386 1784 865 988 100 2855 1268 48 2464 2537 1868 2976 987 719 783 505 2883 803 517 2111 471 637 938 1812 2472 2977 1185 2541 2661 1861 3220 2312 2398 2182 1034 1156 2006 231 1106 294 3049 497 1956 1193 553 954
48,2638 1048 1941 2350 553 2651 3189 307 2182 1861 2885 2299 2805 3142 294 2977 1386 2193 958 465 2652 2217 2320 405 2351 2173 2380 706 490 2464 2855 1197 1362 505 590 1531 856 2111 2537 471 1533 954 1152 938 655 865 964 1812 2726 2312
49,2940 496 2464 2537 2823 2031 2299 2312 2706 2030 3231 663 780 697 417 2514 865 1352 1135 2222 275 1456 1193 2536 2645 465 167 770 1307 1812 1200 2039 277 3229 1197 457 3078 898 3178 1185 494 485 46 3248 505 1195 3181 2108 2455 2022
50,2455 117 2339 3142 1325 1673 1197 2940 2464 2299 3037 2312 2537 1185 465 938 275 663 1693 2885 1200 2706 1195 1868 1405 865 1386 697 333 2022 1949 2034 719 2222 968 2174 2007 2902 3026 494 2066 1455 1942 496 702 1681 3041 1407 1857 3178
51,3031 2845 1761 678 1455 2971 384 1868 960 275 2525 2537 2007 2661 2283 1113 1099 2791 1262 1681 2455 1132 505 1881 1127 332 1752 3187 2392 2476 1185 2124 1635 1353 2862 294 741 988 2795 3147 471 3124 1196 486 231 1770 370 3220 371 1474
52,2431 1224 2631 2196 2129 2887 335 3210 836 1002 1317 1686 91 1797 825 829 876 2193 358 751 2297 1432 2113 1299 2392 734 3142 2413 2182 2385 2499 2866 2959 677 692 2316 2841 1200 2470 2957 2089 2885 1195 2652 1770 1088 2225 2550 1755 2889
53,1268 1575 2217 2810 2182 2652 1770 1200 2885 2320 987 2350 1474 1386 1941 2726 91 405 856 1195 3241 2022 3189 938 2977 1197 505 865 2464 2651 2855 1129 2111 2474 490 1964 2937 100 2805 319 2193 1475 358 1797 2351 1975 2546 2413 3150 2312
54,471 2537 2455 2651 294 1770 1868 706 490 3142 2470 719 1268 486 2805 1048 1185 1861 1474 2902 1213 1871 465 2312 2855 1197 2977 1325 2652 2464 3220 2182 2299 2320 1386 1455 1130 2661 2022 1684 2193 358 988 2726 2006 1681 2845 1812 2971 2351
55,2514 2940 333 2537 2312 505 1868 1681 1455 3032 2039 1200 2024 231 1193 2536 494 1949 968 697 1474 471 465 1196 663 2180 384 457 1386 2463 2885 2706 1693 1325 2651 1770 2031 1197 2299 1348 2814 2034 706 2547 976 2845 2855 18 2805 1860
56,1269 1533 1972 2262 2714 1159 2096 199 2926 959 3202 1340 2702 2071 1700 1777 3182 439 1641 2950 1142 830 1189 14 1210 1402 2339 284 3090 2743 1706 2225 3224 1220 655 2606 694 2568 1731 805 1563 1714 803 2236 512 1773 988 1857 2908 1292
57,1200 231 1325 2537 1770 2805 384 2651 3142 1195 976 471 1861 2455 358 465 2885 2115 1784 2320 2470 2380 2392 3189 714 3040 1871 741 2855 3031 1567 1048 2464 443 294 1365 2652 2006 490 2902 2022 1386 1722 2350 1804 2312 3241 1941 981 2971
58,825 1154 2887 2129 319 836 1054 3210 2546 1317 1686 751 676 2977 2115 358 2217 335 829 155 3150 2113 1383 2392 1432 2193 2930 2262 1964 2089 734 505 2959 243 2306 553 629 1299 394 2413 405 692 3241 1087 2957 938 1415 655 613 2305
59,745 1189 845 1891 2339 1730 259 1521 3156 1365 2685 3159 176 654 2879 2795 622 2445 655 2979 1005 1496 760 2629 312 2275 2831 2651 1720 2115 1006 837 3182 2527 2034 714 2086 498 1619 2487 2309 1298 117 2536 430 294 1242 2006 2514 2941
60,2651 1268 1804 1873 1213 1861 1137 1474 2217 2810 1575 2470 1558 98 163 1348 865 405 2805 1941 2885 2128 2385 2726 2934 505 1386 1200 2380 2555 2351 231 755 702 2320 2809 3187 1722 2225 2537 3241 241 1475 2022 1048 2652 938 275 1770 465
61,1575 988 505 465 2350 2455 1868 2726 1386 2022 2351 1784 1567 719 1197 2855 2173 2464 637 2971 3241 1185 2661 1268 845 697 443 231 1056 2937 454 100 1106 2810 294 384 358 1812 938 2940 964 1861 1455 2651 2006 1871 115 346 1681 2750
62,1949 2464 2403 3078 2536 702 767 457 2108 1198 697 417 898 1386 1835 2013 1889 2179 496 226 1786 918 275 2537 1023 1923 427 18 3209 1681 494 3229 2831 1197 865 2299 2031 1307 716 1868 517 1870 117 88 859 2351 1013 1424 2034 2855
63,1200 1195 2688 501 1239 2652 3145 2885 147 1056 2933 3187 1681 803 1226 505 2111 1386 2022 2428 3241 465 1455 471 783 2351 294 231 2875 2055 91 2696 3040 192 2217 2883 346 868 423 2474 706 1871 2649 3031 1861 2977 2232 2466 2338 2966
64,2885 856 319 231 2855 2470 2957 465 2217 2887 2350 2631 1195 3210 2726 825 1896 1002 1325 1770 1200 1006 2182 905 2113 2320 1317 2129 1129 2297 1432 2196 1964 1686 2413 405 710 1240 2866 706 100 714 490 2810 1602 1299 1269 1596 2651 2406
65,2320 2350 100 987 1197 803 702 1575 2351 3241 1818 2464 1474 2937 521 2182 865 2616 868 2875 1348 1443 3209 938 1567 1185 1722 470 719 1239 91 231 3059 2841 275 1498 2179 1681 748 2111 1193 1106 2299 706 255 1714 2312 266 609 2649
66,1873 734 2217 2810 1152 829 1804 1048 2380 598 3189 2385 2651 1941 2499 590 2805 2417 2193 98 2546 1558 358 405 1055 2809 1613 2072 163 2934 2225 712 490 2474 2869 1475 1383 1474 1195 231 1976 1137 2565 505 2977 1984 1029 2470 444 1770
67,697 2351 1920 988 845 1770 1195 2022 465 2726 1200 2320 706 3003 1575 2977 2841 3142 2173 803 1197 2937 2127 259 2855 2537 422 865 2962 1006 100 1784 423 468 2810 1194 1868 1268 2940 910 272 2464 745 115 1348 45 1185 358 2002 2750
68,1567 1983 280 2198 100 796 2932 2885 814 3049 609 3129 2350 2472 2883 1818 1147 2055 2551 296 2464 2541 1060 2888 255 1939 1956 2696 2384 48 385 1737 1651 2986 1423 770 2035 2616 1133 2652 907 346 1800 2359 1239 1290 18 1193 2937 2012
69,1575 865 968 1185 505 1455 719 3178 2455 1197 1812 697 1693 2031 2845 2885 2039 1195 457 2022 1681 2351 1386 2814 1307 1474 2706 2536 706 3032 2855 117 2463 1405 770 3031 2007 3078 2117 2206 277 663 1336 938 1456 1325 1465 1034 976 898
70,1575 1770 2464 465 275 865 2320 2350 2885 1195 2855 2470 2299 719 1386 2022 706 1868 471 1193 1197 231 1455 1268 2726 1681 1567 3142 1185 505 2810 2652 2455 2805 1307 2182 1474 644 1573 3209 1784 2638 2651 1130 1871 1443 294 2351 981 2977
71,663 2066 117 457 1734 1307 363 2299 1324 2208 2928 1835 46 3068 471 3109 1424 2664 2514 2899 1677 3127 1156 1197 2997 621 3041 770 1456 2622 2464 494 1417 2007 1575 2831 938 1573 2455 333 1860 2034 299 2902 706 361 1343 402 1341 1857
72,1410 431 2724 3080 949 1922 1999 28 2850 270 1470 1697 551 1539 2318 1817 1241 2749 1845 2270 1045 589 1389 3083 464 926 809 942 2955 302 1638 85 2435 936 1923 1529 2365 1237 2800 1956 2958 2878 958 911 633 2406 1991 1758 435 966
73,2006 1575 719 706 2885 1474 465 1185 2652 637 2455 1681 2855 490 3142 1386 2464 988 1197 2055 3237 1268 2661 1239 3220 2976 2398 2937 3049 1325 1614 842 2971 294 170 1088 1755 3040 280 655 1443 644 1056 2750 1130 2986 517 2351 2810 1722
74,465 637 1575 2455 2464 783 2351 490 2470 1681 2652 3040 2940 2350 1056 2750 454 2845 294 2977 1193 938 976 517 486 1871 1020 100 2463 1715 2006 2031 1156 2173 2645 3186 1295 2966 2283 1106 3209 1268 1348 2460 167 1135 644 115 2521 1956
75,3032 412 2549 859 2547 2108 2013 3026 1793 1693 2514 329 3078 2831 84 3013 3071 2814 1860 968 3248 2497 1341 2100 1465 770 1348 496 18 2278 273 918 176 756 1013 1637 457 2312 2458 689 1756 88 3086 1660 1505 702 1260 485 2030 1586
76,2299 1197 2470 1575 1386 1195 465 2350 2464 2855 2022 1770 2312 2320 2940 2652 770 1213 333 938 2514 2651 167 277 471 2351 1185 2810 490 294 1156 3209 457 505 1923 2111 1193 1417 1956 1307 1048 296 1348 706 2706 644 1941 2726 275 2222
77,2651 1048 553 2805 1195 734 865 3189 1804 275 1474 1197 1873 2977 490 2885 98 2385 2351 1034 1307 1185 2193 3220 637 2464 2474 655 1684 2022 2470 405 1152 1812 856 1613 2726 358 2652 1156 443 2940 1295 2320 3150 294 2128 163 1362 954
78,100 2320 1567 115 2976 1239 1784 2696 517 1818 2883 2875 2649 454 1973 497 1195 423 1737 2428 1956 1443 2551 644 1197 988 2616 987 748 470 2472 1268 2351 2810 186 2933 783 521 2055 1292 2182 3064 2163 490 2035 296 1575 1864 2176 3049
79,115 497 2198 2883 48 2649 1239 2111 2750 1567 2428 2875 1737 2696 1770 1864 2384 814 1784 2398 1292 1990 1200 1706 2080 1695 2044 2472 987 3014 2147 2055 1371 2488 748 2393 1651 1396 1446 2810 1289 2338 521 2595 2932 1268 2855 2227 1402 2325
80,1474 938 1185 2464 1200 865 2885 2312 2217 465 2537 3142 553 1386 2855 333 1868 1405 275 2022 2115 2805 2470 2810 1224 1770 1975 856 1195 2299 2514 719 2631 1154 2380 2031 319 2652 697 2196 2431 405 1002 1048 1193 490 3210 1896 2320 2726
81,497 2652 2163 2472 1964 2338 423 1254 454 2488 2595 2799 1147 1591 523 1990 1612 1292 2182 1088 1695 2885 987 2176 2413 292 280 1386 2963 2217 1128 3189 2022 3218 229 517 1010 2616 1117 465 1936 1737 1213 1402 1306 2688 116 2541 3145 3241
82,319 1002 825 2811 1975 1224 2546 3210 458 1474 987 1432 358 938 1054 2930 2164 2297 836 1861 119 1964 91 2217 1268 676 1596 25 3150 2392 905 1006 335 1299 829 3194 2262 505 692 2957 1325 243 1383 2889 2550 2316 629 1797 1336 2305
83,1443 1567 465 517 100 255 380 644 1770 2198 1737 3236 2350 2035 1060 18 748 2652 2384 1290 454 814 115 2888 3129 803 2551 865 48 2463 1423 2932 346 1197 3022 2351 702 1239 2937 2883 470 1474 1088 938 2055 1575 1983 1498 2810 1195
84,2527 3026 485 2940 968 2514 1614 1195 294 1407 13 2455 2661 697 847 1575 490 2855 1321 2537 706 334 1417 1197 571 465 2178 3041 2464 2536 313 1868 745 384 2747 1521 585 2351 2299 1185 3040 3071 1656 2997 1657 3037 1949 2979 865 307
85,2547 2039 3032 1193 898 770 18 2403 427 496 859 2814 1013 767 2514 457 226 2180 1835 663 417 2537 1956 2030 2022 2144 2706 2823 329 3026 1923 3209 2885 639 494 2622 1860 1875 1200 1889 750 3013 3022 2359 2351 1197 918 2497 1575 1357
86,2805 266 3189 1237 2724 294 307 3089 2958 2350 1529 2299 2320 1377 98 981 2638 2380 1770 2182 333 1475 2885 1804 2193 2651 553 1362 2810 949 405 2270 1152 163 2361 2850 1697 2741 677 1558 1386 1200 2022 2652 2318 2726 431 465 1195 1852
87,2855 2652 1857 745 1430 457 296 1942 2299 1195 3142 277 3182 2464 471 1348 517 2757 2320 331 479 1956 938 2173 2455 3229 945 1922 2841 2726 505 1307 702 521 803 1575 863 1295 644 3037 987 1770 307 2111 2031 1200 3209 1693 485 1260
88,2070 2320 1770 280 2350 1200 2810 2133 2726 2944 1259 2932 2466 1365 3189 1520 1685 100 1544 2885 865 2217 1804 2103 2937 820 1239 115 98 2111 1567 1784 501 2193 981 1386 465 1474 2626 2022 2474 2072 2299 2055 229 553 454 2464 2874 644
89,2455 637 505 384 1575 275 2902 2661 1365 3040 706 2117 1770 2537 2971 294 783 1455 1614 3220 490 960 3142 1784 842 1567 1325 2966 2007 1765 2350 2726 2527 2320 372 981 2977 1715 147 976 465 2115 2885 3187 3237 358 402 655 2855 698
90,2086 3158 697 682 3032 1529 1462 1972 2039 331 412 2788 2002 84 2568 2403 3078 2309 518 2940 329 468 745 1762 1465 1348 333 2351 1949 639 1386 2547 2885 2022 197 2455 2651 2536 2538 2464 465 1956 2881 230 1723 1006 485 2514 1197 1677
91,677 266 98 1804 2652 1770 651 803 1612 100 2933 2799 2413 3039 755 1362 3241 1106 3150 1048 1991 2651 545 2885 294 1990 1386 2163 2428 2825 2193 1714 3059 2380 2850 598 2270 2022 270 192 241 1377 3118 1289 738 2499 3145 603 987 1748
92,1194 128 1006 2002 122 1339 2788 2262 3142 197 1531 1159 2841 1168 1963 3182 2369 284 312 3023 1530 718 2817 3241 307 2571 545 1641 2339 2962 938 710 485 505 3202 1197 1857 2855 2885 764 2568 1189 655 2096 575 1942 830 1260 2652 1158
93,98 3189 2320 2810 2350 266 1770 2193 294 2380 1362 981 1377 163 2299 3118 2724 2652 545 2726 2217 2885 1861 1386 1558 2385 1055 2638 1529 865 1152 651 270 949 2022 590 475 100 465 1237 719 1185 307 431 275 1197 1984 1474 1956 1195
94,938 2217 987 2474 2652 3150 1474 2885 1575 734 2546 2022 2810 2726 3241 1861 1797 231 405 1224 876 2811 465 553 2115 1964 2320 2855 2977 2470 243 2413 2129 1770 2541 655 2631 829 1197 358 1154 517 1755 2866 1432 2350 1873 1475 2196 651
95,468 2262 122 2309 1094 655 2086 197 718 2788 856 2962 2972 3158 863 331 910 2213 751 2652 1452 2444 1762 1531 170 1963 2431 545 1529 1533 2164 1430 335 906 764 1602 1195 1518 312 2413 2817 2011 2069 2350 505 2115 192 1641 1212 244
96,1185 2299 333 2940 2885 1770 3178 1197 2320 231 2855 417 2514 505 702 698 1348 1195 2805 1474 697 2463 2351 2726 2651 3209 471 637 1648 2455 1023 706 1812 517 294 938 3181 2541 277 2652 2117 2193 3142 1784 2350 1443 1325 2179 2380 117
97,2171 1470 1612 2541 3059 2320 748 3039 517 1990 1714 2875 479 192 2470 926 2850 1071 596 2649 2937 2393 1289 272 1643 2343 1046 2179 2825 2435 2688 1722 91 938 2111 1239 3145 1237 1602 3233 1396 14 870 3209 3091 1879 2754 1465 936 720
98,2320 100 1770 964 2937 1567 1239 803 346 2875 987 517 2182 2976 454 2883 2696 2855 2810 1973 48 2649 1195 497 2551 1818 1956 2217 1737 644 1443 2198 423 2398 1197 1864 3241 2932 3059 91 2933 865 1941 1474 2163 3064 1714 2472 2147 2006
99,865 275 3031 1868 637 1200 719 976 3220 2971 1185 2527 1770 1474 3040 1170 384 988 1684 2463 1715 294 2283 3176 2470 1681 505 1761 2661 1195 1113 2833 2392 1226 3147 358 2320 490 443 231 1567 2312 1262 1099 2885 1106 2464 2837 981 471
100,2320 1770 1200 2464 465 2541 1193 2022 1386 1956 1941 865 2350 2299 2463 1185 521 280 275 2855 2182 380 1681 333 2652 2312 2537 719 702 2932 2888 2551 1197 2724 1060 3229 767 1474 1348 2171 2940 783 1195 115 296 2055 3181 2958 454 2946
101,3176 3229 1575 505 2940 1200 2031 465 1185 485 865 2527 975 2855 968 454 1770 1260 2537 1195 275 2470 3237 231 1474 490 333 1868 1715 2022 697 2384 1784 84 719 471 486 313 2324 2312 1197 3040 1681 384 2463 1325 2645 2661 1567 2299
